name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,shot_key
DeMar DeRozan,Toronto Raptors,11/14/17,2017,3978,1610612761,400974953,3,5,58,0,Driving Layup Shot,2PT Field Goal,1,Houston Rockets,18,1,4009749533558
James Harden,Houston Rockets,3/30/18,2017,3992,1610612745,400975878,4,6,59,1,Driving Layup Shot,2PT Field Goal,0,Phoenix Suns,5,7,4009758784659
Kentavious CaldwellPope,Los Angeles Lakers,4/4/18,2017,2581018,1610612747,400975920,4,9,21,1,Driving Layup Shot,2PT Field Goal,0,San Antonio Spurs,-5,4,4009759204921
Carmelo Anthony,Oklahoma City Thunder,2/2/18,2017,1975,1610612760,400975518,1,1,28,0,Driving Layup Shot,2PT Field Goal,0,New Orleans Pelicans,7,5,4009755181128
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,3,2,15,1,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,17,6,4009749533215
LaMarcus Aldridge,San Antonio Spurs,2/10/18,2017,2983,1610612759,400975577,3,9,29,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,-2,9,4009755773929
LaMarcus Aldridge,San Antonio Spurs,4/4/18,2017,2983,1610612759,400975920,1,8,41,1,Driving Layup Shot,2PT Field Goal,2,Los Angeles Lakers,16,24,4009759201841
Stephen Curry,Golden State Warriors,2/2/18,2017,3975,1610612744,400975520,1,6,57,0,Driving Layup Shot,2PT Field Goal,3,Sacramento Kings,-36,6,4009755201657
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,4,1,38,0,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,-5,19,4009749534138
Kyle Korver,Cleveland Cavaliers,2/9/18,2017,2011,1610612739,400975565,3,3,40,0,Driving Layup Shot,2PT Field Goal,7,Atlanta Hawks,24,74,4009755653340
Kyle Lowry,Toronto Raptors,11/12/17,2017,3012,1610612761,400974939,4,1,18,1,Driving Layup Shot,2PT Field Goal,0,Boston Celtics,4,8,4009749394118
Giannis Antetokounmpo,Milwaukee Bucks,2/9/18,2017,3032977,1610612749,400975567,2,10,5,0,Driving Layup Shot,2PT Field Goal,2,Miami Heat,-14,15,4009755672105
DeMar DeRozan,Toronto Raptors,11/14/17,2017,3978,1610612761,400974953,4,3,58,1,Driving Layup Shot,2PT Field Goal,6,Houston Rockets,-16,63,4009749534358
DeMar DeRozan,Toronto Raptors,11/1/17,2017,3978,1610612761,400974865,2,6,22,1,Driving Layup Shot,2PT Field Goal,3,Denver Nuggets,24,26,4009748652622
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,1,5,51,1,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,-12,2,4009749531551
Goran Dragic,Miami Heat,11/8/17,2017,3423,1610612748,400974913,2,5,31,1,Driving Layup Shot,2PT Field Goal,2,Phoenix Suns,-25,16,4009749132531
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,1,2,28,1,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,-9,11,4009749531228
DeMarcus Cousins,New Orleans Pelicans,12/13/17,2017,4258,1610612740,400975161,3,7,52,0,Driving Layup Shot,2PT Field Goal,2,Milwaukee Bucks,5,24,4009751613752
LaMarcus Aldridge,San Antonio Spurs,11/14/17,2017,2983,1610612759,400974954,1,9,18,1,Driving Layup Shot,2PT Field Goal,0,Dallas Mavericks,-5,8,4009749541918
James Harden,Houston Rockets,3/30/18,2017,3992,1610612745,400975878,4,6,30,1,Driving Layup Shot,2PT Field Goal,0,Phoenix Suns,5,-1,4009758784630
Kevin Durant,Golden State Warriors,4/5/18,2017,3202,1610612744,400975921,2,4,31,0,Driving Layup Shot,2PT Field Goal,0,Indiana Pacers,5,4,4009759212431
DeMar DeRozan,Toronto Raptors,4/6/18,2017,3978,1610612761,400975933,1,8,44,0,Driving Layup Shot,2PT Field Goal,2,Indiana Pacers,21,18,4009759331844
James Harden,Houston Rockets,4/5/18,2017,3992,1610612745,400975923,4,6,0,1,Driving Layup Shot,2PT Field Goal,1,Portland Trail Blazers,-16,7,400975923460
Carmelo Anthony,Oklahoma City Thunder,10/25/17,2017,1975,1610612760,400974811,4,4,22,0,Driving Layup Shot,2PT Field Goal,1,Indiana Pacers,10,2,4009748114422
Draymond Green,Golden State Warriors,12/3/17,2017,6589,1610612744,400975086,3,10,6,1,Driving Layup Shot,2PT Field Goal,0,Miami Heat,3,4,4009750863106
Goran Dragic,Miami Heat,12/13/17,2017,3423,1610612748,400975159,2,5,38,1,Driving Layup Shot,2PT Field Goal,0,Portland Trail Blazers,-5,2,4009751592538
LeBron James,Cleveland Cavaliers,4/5/18,2017,1966,1610612739,400975922,4,2,53,1,Driving Layup Shot,2PT Field Goal,1,Washington Wizards,14,8,4009759224253
Goran Dragic,Miami Heat,11/10/17,2017,3423,1610612748,400974926,4,8,31,1,Driving Layup Shot,2PT Field Goal,1,Utah Jazz,13,13,4009749264831
LeBron James,Cleveland Cavaliers,10/21/17,2017,1966,1610612739,400974779,2,0,48,0,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,-7,29,4009747792048
Goran Dragic,Miami Heat,11/10/17,2017,3423,1610612748,400974926,3,9,26,1,Driving Layup Shot,2PT Field Goal,2,Utah Jazz,-18,16,4009749263926
LeBron James,Cleveland Cavaliers,2/22/18,2017,1966,1610612739,400975615,4,3,38,1,Driving Layup Shot,2PT Field Goal,1,Washington Wizards,11,15,4009756154338
James Harden,Houston Rockets,3/30/18,2017,3992,1610612745,400975878,4,1,26,1,Driving Layup Shot,2PT Field Goal,0,Phoenix Suns,-3,2,4009758784126
Pau Gasol,San Antonio Spurs,4/4/18,2017,996,1610612759,400975920,2,10,54,0,Driving Layup Shot,2PT Field Goal,0,Los Angeles Lakers,2,9,40097592021054
DeMar DeRozan,Toronto Raptors,3/4/18,2017,3978,1610612761,400975690,4,1,56,1,Driving Layup Shot,2PT Field Goal,1,Charlotte Hornets,14,9,4009756904156
LeBron James,Cleveland Cavaliers,10/21/17,2017,1966,1610612739,400974779,1,0,23,1,Driving Layup Shot,2PT Field Goal,1,Orlando Magic,-6,16,4009747791023
James Harden,Houston Rockets,3/30/18,2017,3992,1610612745,400975878,1,11,4,0,Driving Layup Shot,2PT Field Goal,1,Phoenix Suns,2,19,4009758781114
